domain,severity,reject_media,reject_reports,public_comment,obfuscate
misskey.io,silence,False,False,Inappropriate content,False
momostr.pink,silence,False,False,Spam,False
mostr.pub,silence,False,False,Spam,False
mstdn.foxfam.club,silence,False,False,Server dedicated to unofficial news bots,False
mugicha.club,suspend,False,False,Transphobia,False
my.dirtyhobby.xyz,suspend,False,False,Automated porn spam ,False
nate*******.org,suspend,False,False,Hate speech,False
nateh******.**line,suspend,False,False,Hate speech,False
nationalist.social,suspend,False,False,Hate speech,False
nazi.social,suspend,False,False,Hate speech,False
neckbeard.xyz,suspend,False,False,Hate speech,False
newsbots.eu,suspend,False,False,Bots,False
nicecrew.digital,suspend,False,False,Hate speech,False
nnia.space,suspend,False,False,-,False
noagendasocial.com,silence,False,False, Misinformation and conspiracy theories ,False
noauthority.social,suspend,False,False,Hate speech,False
norwoodzero.net,suspend,False,False,Hate speech,False
ns.auction,suspend,False,False,Hate speech,False
nya.u*******.moe,suspend,False,False,Inappropriate content,False
nyanide.com,suspend,False,False,Hate speech,False
ob*.*h,suspend,False,False,Inappropriate content,False
oddb****.***ine,suspend,False,False,Inappropriate content,False
onion.social,silence,False,False,Spam,False
pac**.us,suspend,False,False,Inappropriate content,False
paravielfalt.zone,suspend,False,False,Inappropriate content,False
parcero.bond,suspend,False,False,Hate speech,False
pawoo.net,suspend,False,False,Inappropriate content,False
paypig.org,suspend,False,False,Hate speech,False
ped*.****ol,suspend,False,False,Inappropriate content,False
pett****.art,suspend,False,False,Inappropriate content,False
pieville.net,suspend,False,False,Hate speech,False
pl.smuglo.li,suspend,False,False,Inappropriate content,False
pl.wy********.art,suspend,False,False,Inappropriate content,False
plero**.*****.love,suspend,False,False,Inappropriate content,False
plero**.*****.net,suspend,False,False,Inappropriate content,False
pleroma.**********he.biz,suspend,False,False,Hate speech,False
pleroma.adachi.party,suspend,False,False,Hate speech,False
pleroma.fun,suspend,False,False,Hate speech,False
pleroma.kitsunemimi.club,suspend,False,False,Hate speech,False
