domain,severity,reject_media,reject_reports,public_comment,obfuscate
birdsite.tableflip.zone,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.tcjc.uk,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.tedandrachel.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.thorlaksson.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.toot.si,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.vish.link,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.vrparty.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.weiranzhang.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsite.wilde.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.angrydome.au,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.baguette-it.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.bubbletea.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.chatty.monster,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.falschgold.net,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.ffvo.dev,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.janngobble.synology.me,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.kevinyank.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.laski.app,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.leonardwong.tech,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.loca.lt,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.mastodon.vm.statshelix.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.moistgarbage.info,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.nullreference.io,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.obey.social,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.peanutlasko.com,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.samedwards.ca,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.sboulema.nl,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.self-hosted.site,suspend,False,False,BirdSiteLIVE/Bot,False
birdsitelive.treffler.cloud,suspend,False,False,BirdSiteLIVE/Bot,False
blue.worldkey.io,suspend,False,False,BirdSiteLIVE/Bot,False
bmu.beerinacan.com,suspend,False,False,BirdSiteLIVE/Bot,False
bot.gallion.sh,suspend,False,False,BirdSiteLIVE/Bot,False
bridge.yopp.me,suspend,False,False,BirdSiteLIVE/Bot,False
bridgebot.b-wells.us,suspend,False,False,BirdSiteLIVE/Bot,False
bsite.spiderden.net,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.18m250.org,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.adamstas.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.allofti.me,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.beerinacan.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.compostintraining.club,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.fedi.grh.am,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.gronk.cc,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.m-n.live,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.pride-rock-labs.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.shrdr.de,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.sid500.com,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.tuxz.one,suspend,False,False,BirdSiteLIVE/Bot,False
bsl.zogan.de,suspend,False,False,BirdSiteLIVE/Bot,False
cp2.jaxbeach.social,suspend,False,False,BirdSiteLIVE/Bot,False
cuicui.senpaga.net,suspend,False,False,BirdSiteLIVE/Bot,False
gateway.occm.cc,suspend,False,False,BirdSiteLIVE/Bot,False
instinctd.com,suspend,False,False,BirdSiteLIVE/Bot,False
leonardwong.dev,suspend,False,False,BirdSiteLIVE/Bot,False
mast.socialspill.com,suspend,False,False,BirdSiteLIVE/Bot,False
mastodon.socialspill.com,suspend,False,False,BirdSiteLIVE/Bot,False
news.twtr.plus,suspend,False,False,BirdSiteLIVE/Bot,False
optiplex.wallaby-bass.ts.net,suspend,False,False,BirdSiteLIVE/Bot,False
polaris.bonespr.it,suspend,False,False,BirdSiteLIVE/Bot,False
politbird.twexodus.top,suspend,False,False,BirdSiteLIVE/Bot,False
relay.scottsmall.org,suspend,False,False,BirdSiteLIVE/Bot,False
socialloods.nl,suspend,False,False,BirdSiteLIVE/Bot,False
sovran.social,suspend,False,False,BirdSiteLIVE/Bot,False
t.beergeek.social,suspend,False,False,BirdSiteLIVE/Bot,False
t.l3r.me,suspend,False,False,BirdSiteLIVE/Bot,False
test.misskey.cf,suspend,False,False,BirdSiteLIVE/Bot,False
tinybirdsite.com,suspend,False,False,BirdSiteLIVE/Bot,False
tweetbridge.kogasa.de,suspend,False,False,BirdSiteLIVE/Bot,False
tweetbridge.mollys.social,suspend,False,False,BirdSiteLIVE/Bot,False
tweetrans.ff15.eu,suspend,False,False,BirdSiteLIVE/Bot,False
tweets.icu,suspend,False,False,BirdSiteLIVE/Bot,False
