domain,severity,public_comment,reject_media,reject_reports,obfuscate
getgle.org,suspend,,True,True,False
ghetti.monster,suspend,,True,True,False
girevik.su,suspend,,True,True,False
gitmo.life,suspend,,True,True,False
gleasonator.com,suspend,,True,True,False
glindr.org,suspend,,True,True,False
globalfrens.com,suspend,,True,True,False
glowers.club,suspend,,True,True,False
gnuhacker.org,suspend,,True,True,False
gorf.pub,suspend,,True,True,False
helladoge.com,suspend,,True,True,False
hirad.it,suspend,,True,True,False
honkwerx.tech,suspend,,True,True,False
hunk.city,suspend,,True,True,False
husk.site,suspend,,True,True,False
iddqd.social,suspend,,True,True,False
ignorelist.com,suspend,,True,True,False
ihatebeinga.live,suspend,,True,True,False
inex.rocks,suspend,,True,True,False
instinctd.com,suspend,,True,True,False
intkos.link,suspend,,True,True,False
itmslaves.com,suspend,,True,True,False
jaeger.website,suspend,,True,True,False
jir.moe,suspend,,True,True,False
jpop.club,suspend,,True,True,False
justicewarrior.social,suspend,,True,True,False
kazv.moe,suspend,,True,True,False
kenfm.quadplay.tv,suspend,,True,True,False
kiwifarms.cc,suspend,,True,True,False
kiwifarms.is,suspend,,True,True,False
kiwifarms.net,suspend,,True,True,False
krdtube.org,silence,,False,False,False
kurosawa.moe,suspend,,True,True,False
kys.moe,suspend,,True,True,False
lain.sh,suspend,,True,True,False
leafposter.club,suspend,,True,True,False
leftlibertarian.club,suspend,,True,True,False
letsalllovela.in,suspend,,True,True,False
lgbtfree.zone,suspend,,True,True,False
liberdon.com,suspend,,True,True,False
librem.one,suspend,,True,True,False
librenet.co.za,suspend,,True,True,False
libtar.de,suspend,,True,True,False
ligma.pro,suspend,,True,True,False
lizards.live,suspend,,True,True,False
loli.best,suspend,,True,True,False
lolicon.rocks,suspend,,True,True,False
lolison.network,suspend,,True,True,False
lolison.top,suspend,,True,True,False
lush.moe,suspend,,True,True,False
mahodou.moe,suspend,,True,True,False
maladaptive.art,suspend,,True,True,False
mas.glowing.surf,suspend,,True,True,False
masochi.st,suspend,,True,True,False
mastinator.com,suspend,,True,True,False
mastodon.cloud,silence,,False,False,False
mastodon.heavyrubberslave.com,silence,,False,False,False
mastodon.network,suspend,,True,True,False
mastodon.popps.org,suspend,,True,True,False
mastodon.psionprotocol.com,suspend,,True,True,False
mastodon.se,suspend,,True,True,False
mastodon.teia.art,silence,,False,False,False
mastodon.xaetacore.net,suspend,,True,True,False
mastodong.lol,suspend,,True,True,False
mastodonhub.com,suspend,,True,True,False
meatbag.app,suspend,,True,True,False
mediastodon.com,suspend,,True,True,False
medic.cafe,suspend,,True,True,False
megamast.io,suspend,,True,True,False
minidisc.tokyo,suspend,,True,True,False
mirr0r.city,suspend,,True,True,False
misskey-forkbomb,suspend,,True,True,False
misskey-forkbomb.cf,suspend,,True,True,False
mk.starnix.network,suspend,,True,True,False
moa.st,suspend,,True,True,False
monads.online,silence,,False,False,False
monstergirl.space,suspend,,True,True,False
mouse.services,suspend,,True,True,False
