domain,count,percent
berzs.xyz,1,16.666666666666664
best-friends.chat,1,16.666666666666664
bestgore.fun,3,50.0
beta.birdsite.live,3,50.0
beta.mstdn.cf,5,83.33333333333334
bgzashtita.es,3,50.0
bibly.com,4,66.66666666666666
bida.im,1,16.666666666666664
bien-etre.social,1,16.666666666666664
biendeo.com,3,50.0
bigchungus69.club,1,16.666666666666664
bigguys.club,3,50.0
bigrelay.social,2,33.33333333333333
bigzu.cc,2,33.33333333333333
bikeshed.party,4,66.66666666666666
binarydad.com,1,16.666666666666664
birb.byte.wtf,3,50.0
birb.elfenban.de,2,33.33333333333333
birb.redra1n.net,3,50.0
birb.space,1,16.666666666666664
birb.stream,3,50.0
birbber.hotfemboy.pics,3,50.0
bird.chauvet.pro,3,50.0
bird.docmeth02.host,2,33.33333333333333
bird.evilcyberhacker.net,3,50.0
bird.froth.zone,1,16.666666666666664
bird.geiger.ee,3,50.0
bird.gensokyo.info,3,50.0
bird.granford.uk,3,50.0
bird.hock.one,3,50.0
bird.im-in.space,2,33.33333333333333
bird.istheguy.com,3,50.0
bird.karatek.net,3,50.0
bird.kuendig.io,3,50.0
bird.lummerland.ddnss.de,2,33.33333333333333
bird.makeup,6,100.0
bird.makeup.hwarf.com,1,16.666666666666664
bird.neolyum.de,1,16.666666666666664
bird.nzbr.de,1,16.666666666666664
bird.r669.live,3,50.0
bird.seafoam.space,3,50.0
bird.shitposted.today,2,33.33333333333333
bird.tracto.pl,2,33.33333333333333
bird.waffles.fun,2,33.33333333333333
bird.xtra.nu,2,33.33333333333333
bird.zerojay.com,2,33.33333333333333
bird.zvo.io,2,33.33333333333333
birdbots.leptonics.com,3,50.0
birdbridge.autonomy.earth,1,16.666666666666664
birdity.club,2,33.33333333333333
birdlive.grupotd.nat.cu,2,33.33333333333333
birdmakeup.opiumpost.org,1,16.666666666666664
birds.garden,3,50.0
birds.im-in.space,1,16.666666666666664
birdsite.am-institute.swiss,3,50.0
birdsite.archybold.com,2,33.33333333333333
birdsite.axeleroy.com,2,33.33333333333333
birdsite.b93.dece.space,2,33.33333333333333
birdsite.blahaj.social,2,33.33333333333333
birdsite.blazelight.dev,3,50.0
birdsite.cbruegg.com,2,33.33333333333333
birdsite.centennial.root.sx,2,33.33333333333333
birdsite.cloutier.co,3,50.0
birdsite.csachweh.de,2,33.33333333333333
birdsite.darkesttimeline.social,3,50.0
birdsite.datboi.network,2,33.33333333333333
birdsite.davinkevin.fr,2,33.33333333333333
birdsite.falkensweb.com,2,33.33333333333333
birdsite.felixmueller.cloud,2,33.33333333333333
birdsite.frog.fashion,3,50.0
birdsite.gabeappleton.me,2,33.33333333333333
birdsite.gnyo.org,2,33.33333333333333
birdsite.gred.al,2,33.33333333333333
birdsite.gxvwb.dev,2,33.33333333333333
birdsite.hexix.de,2,33.33333333333333
birdsite.hwarf.com,2,33.33333333333333
birdsite.ingwie.me,2,33.33333333333333
birdsite.intra.kaijauch.de,2,33.33333333333333
birdsite.james.moody.name,3,50.0
birdsite.jemverse.xyz,1,16.666666666666664
birdsite.jupiterslanding.social,2,33.33333333333333
birdsite.k-fortytwo.de,2,33.33333333333333
birdsite.kaijauch.de,2,33.33333333333333
birdsite.kohl.dev,2,33.33333333333333
birdsite.koyu.space,2,33.33333333333333
birdsite.lakedrops.com,2,33.33333333333333
birdsite.link,4,66.66666666666666
birdsite.lipsia.casa,2,33.33333333333333
birdsite.live,3,50.0
birdsite.lluni.de,2,33.33333333333333
birdsite.marschik.me,2,33.33333333333333
birdsite.mastodon.land,2,33.33333333333333
birdsite.mastodon.me.uk,2,33.33333333333333
birdsite.miisu.net,2,33.33333333333333
birdsite.monster,4,66.66666666666666
birdsite.nickurak.ca,2,33.33333333333333
birdsite.noitl.space,2,33.33333333333333
birdsite.nytpu.com,3,50.0
birdsite.oliviaappleton.com,2,33.33333333333333
birdsite.otmns.net,2,33.33333333333333
birdsite.outadoc.fr,2,33.33333333333333
birdsite.personally.tech,1,16.666666666666664
birdsite.platypush.tech,2,33.33333333333333
birdsite.rap.social,2,33.33333333333333
birdsite.schafscheiss.com,2,33.33333333333333
birdsite.seejy.ninja,2,33.33333333333333
birdsite.skye.cx,1,16.666666666666664
birdsite.slashdev.space,3,50.0
birdsite.spectreos.de,2,33.33333333333333
birdsite.tableflip.zone,2,33.33333333333333
birdsite.tcjc.uk,3,50.0
birdsite.tedandrachel.com,2,33.33333333333333
birdsite.thorlaksson.com,4,66.66666666666666
birdsite.toot.si,4,66.66666666666666
birdsite.vish.link,2,33.33333333333333
birdsite.vrparty.social,3,50.0
birdsite.weiranzhang.com,2,33.33333333333333
birdsite.wilde.cloud,4,66.66666666666666
birdsitelive.angrydome.au,2,33.33333333333333
birdsitelive.baguette-it.social,1,16.666666666666664
birdsitelive.bubbletea.dev,1,16.666666666666664
birdsitelive.chatty.monster,2,33.33333333333333
birdsitelive.codingneko.com,2,33.33333333333333
birdsitelive.falschgold.net,2,33.33333333333333
birdsitelive.ffvo.dev,2,33.33333333333333
birdsitelive.janngobble.synology.me,2,33.33333333333333
birdsitelive.kevinyank.com,2,33.33333333333333
birdsitelive.laski.app,2,33.33333333333333
birdsitelive.leonardwong.tech,2,33.33333333333333
birdsitelive.loca.lt,2,33.33333333333333
birdsitelive.mastodon.vm.statshelix.com,2,33.33333333333333
birdsitelive.moistgarbage.info,4,66.66666666666666
birdsitelive.nullreference.io,2,33.33333333333333
birdsitelive.obey.social,2,33.33333333333333
birdsitelive.opiumpost.org,1,16.666666666666664
birdsitelive.peanutlasko.com,2,33.33333333333333
birdsitelive.samedwards.ca,2,33.33333333333333
birdsitelive.sboulema.nl,2,33.33333333333333
birdsitelive.self-hosted.site,2,33.33333333333333
birdsitelive.treffler.cloud,3,50.0
biribiri.dev,1,16.666666666666664
bitacadie.com,1,16.666666666666664
bitcoin-info.nl,1,16.666666666666664
bitcoin.ninja,1,16.666666666666664
bitcoinadon.social,1,16.666666666666664
bitcoinersagainst.boats,1,16.666666666666664
bitcoinhackers.org,4,66.66666666666666
bitcoinlizard.net,4,66.66666666666666
bitcoinplebs.net,1,16.666666666666664
bitcointv.com,4,66.66666666666666
bittube.video,2,33.33333333333333
bka.li,1,16.666666666666664
blab.gg,1,16.666666666666664
blackoutstout.space,3,50.0
blackstar.cafe,1,16.666666666666664
blacksun.social,2,33.33333333333333
blazelights.dev,1,16.666666666666664
blazingopen.space,3,50.0
blob.cat,4,66.66666666666666
blobturtle.club,1,16.666666666666664
blockedur.mom,4,66.66666666666666
blockriot.com,2,33.33333333333333
blogold.xyz,1,16.666666666666664
blovice.bahnhof.cz,1,16.666666666666664
blue.worldkey.io,2,33.33333333333333
blurts.net,1,16.666666666666664
bmu.beerinacan.com,2,33.33333333333333
boating.social,1,16.666666666666664
bocc.de,1,16.666666666666664
body.social,1,16.666666666666664
bodybuilding.im,1,16.666666666666664
bofa.lol,2,33.33333333333333
bofh.social,2,33.33333333333333
boingo00.wtf,2,33.33333333333333
boks.moe,5,83.33333333333334
boles.xyz,1,16.666666666666664
boobytooth.social,2,33.33333333333333
bookwor.ms,1,16.666666666666664
boop.link,1,16.666666666666664
borg.social,1,16.666666666666664
boseburo.ddns.net,2,33.33333333333333
bostonsocial.online,1,16.666666666666664
bot.gallion.sh,2,33.33333333333333
botsin.space,2,33.33333333333333
boykissers.club,1,16.666666666666664
boymoder.biz,3,50.0
boyter.org,3,50.0
bozgor.org,4,66.66666666666666
brainsoap.net,4,66.66666666666666
brapbarn.farm,4,66.66666666666666
brasileiros.social,1,16.666666666666664
breastmilk.club,5,83.33333333333334
bridge.birb.space,1,16.666666666666664
bridge.yopp.me,2,33.33333333333333
bridgebot.b-wells.us,2,33.33333333333333
brighteon.social,6,100.0
brodi.me,1,16.666666666666664
bronyfurry.com,1,16.666666666666664
brotka.st,2,33.33333333333333
bruh.homd.xyz,2,33.33333333333333
bruh.social,2,33.33333333333333
brzozow.xyz,1,16.666666666666664
bsd.moe,2,33.33333333333333
bsite.spiderden.net,1,16.666666666666664
bsl.18m250.org,2,33.33333333333333
bsl.adamstas.com,2,33.33333333333333
bsl.allofti.me,2,33.33333333333333
bsl.beerinacan.com,2,33.33333333333333
bsl.compostintraining.club,2,33.33333333333333
bsl.fedi.grh.am,2,33.33333333333333
bsl.gronk.cc,2,33.33333333333333
bsl.m-n.live,2,33.33333333333333
bsl.pride-rock-labs.com,2,33.33333333333333
bsl.shrdr.de,2,33.33333333333333
bsl.sid500.com,2,33.33333333333333
bsl.tuxz.one,3,50.0
bsl.zogan.de,2,33.33333333333333
btrf.ly,1,16.666666666666664
btrfly.social,2,33.33333333333333
bubbletea.dev,4,66.66666666666666
bucket.0ms.me,1,16.666666666666664
buckeye.social,1,16.666666666666664
bugs.social,1,16.666666666666664
buildthatwallandmakeamericagreatagain.trumpislovetrumpis.life,4,66.66666666666666
bund.de,1,16.666666666666664
bungle.chat,1,16.666666666666664
bungle.online,5,83.33333333333334
bunny.cafe,1,16.666666666666664
bunnyanarchy.org,1,16.666666666666664
burger.rodeo,2,33.33333333333333
burggit.moe,1,16.666666666666664
busshi.moe,3,50.0
bussy.monster,3,50.0
buttplug.zone,1,16.666666666666664
bv.umbrellix.org,1,16.666666666666664
bwzone.xyz,1,16.666666666666664
bylines.social,3,50.0
c.im,1,16.666666666666664
cachapa.moe,4,66.66666666666666
cachapa.xyz,5,83.33333333333334
cafkafk.com,3,50.0
calculate.social,1,16.666666666666664
calobar.club,5,83.33333333333334
campduffel.social,3,50.0
canberrasocial.net,1,16.666666666666664
cannibal.cafe,1,16.666666666666664
cantos.social,1,16.666666666666664
capitalism.party,2,33.33333333333333
capystan.net,2,33.33333333333333
carnivore.social,4,66.66666666666666
carrot.army,2,33.33333333333333
catboi.party,2,33.33333333333333
catbot.co,1,16.666666666666664
catgirl.land,2,33.33333333333333
catgirl.life,4,66.66666666666666
catgirlon.top,1,16.666666666666664
catgirls.nya.gay,1,16.666666666666664
catin.space,1,16.666666666666664
catposter.club,1,16.666666666666664
cawfee.club,5,83.33333333333334
cdrom.tokyo,2,33.33333333333333
cdsisaster.club,1,16.666666666666664
celebrity.social,2,33.33333333333333
censorship.icu,1,16.666666666666664
cf,2,33.33333333333333
chamba.social,3,50.0
chaoswork.cn,1,16.666666666666664
charcha.cc,1,16.666666666666664
charlestown.social,1,16.666666666666664
chaunchy.com,1,16.666666666666664
cheeseburger.social,2,33.33333333333333
cheeseland.xyz,1,16.666666666666664
childpawn.shop,5,83.33333333333334
china.al,1,16.666666666666664
chir.rs,1,16.666666666666664
chocoflan.net,2,33.33333333333333
chudbuds.lol,6,100.0
chudbuds.org,3,50.0
chungus.cc,3,50.0
cipay.ca,1,16.666666666666664
circlebasti.at,2,33.33333333333333
civiq.social,3,50.0
ckpg.space,2,33.33333333333333
clew.lol,6,100.0
climatejustice.social,1,16.666666666666664
cliterati.club,2,33.33333333333333
cloud.okteto.net,1,16.666666666666664
cloud.scaleway.com,1,16.666666666666664
cloudapp.azure.com,1,16.666666666666664
cloudisland.online,3,50.0
cloudplane.app,1,16.666666666666664
cloutfa.re,1,16.666666666666664
clq.im,1,16.666666666666664
club.darknight-coffee.org,1,16.666666666666664
clubcyberia.co,6,100.0
clube.social,2,33.33333333333333
cmpwn.com,1,16.666666666666664
cobblestone.rocks,4,66.66666666666666
cocaine.moe,1,16.666666666666664
cocaine.ninja,1,16.666666666666664
cock.email,1,16.666666666666664
cock.fish,2,33.33333333333333
cock.li,2,33.33333333333333
cock.lu,1,16.666666666666664
cockworshipper.com,1,16.666666666666664
cocoa.hoto.rocks,1,16.666666666666664
cofe.rocks,1,16.666666666666664
cofeti.me,2,33.33333333333333
col.social,1,16.666666666666664
collapse.pub,1,16.666666666666664
collapsitarian.io,5,83.33333333333334
com.ai,1,16.666666666666664
comfy.social,1,16.666666666666664
comfyboy.club,5,83.33333333333334
comfysnug.space,3,50.0
comm.cx,1,16.666666666666664
comm.network,1,16.666666666666664
commiespace.duckdns.org,1,16.666666666666664
communick.com,1,16.666666666666664
community.halle-leaks.de,2,33.33333333333333
community.highlandarrow.com,1,16.666666666666664
computerfairi.es,2,33.33333333333333
computerhater.club,1,16.666666666666664
conchrepublic.social,1,16.666666666666664
conspiracydistillery.com,1,16.666666666666664
contrapointsfan.club,6,100.0
controverse.tube,1,16.666666666666664
convo.casa,2,33.33333333333333
coolsite.win,4,66.66666666666666
coom.club,2,33.33333333333333
counter.fedi.live,1,16.666666666666664
counter.social,2,33.33333333333333
cp2.jaxbeach.social,2,33.33333333333333
cpluspatch.com,1,16.666666666666664
creativeart.shop,1,16.666666666666664
creativeart.work,1,16.666666666666664
creativity.cafe,1,16.666666666666664
crid.land,1,16.666666666666664
criminallycute.fi,1,16.666666666666664
crlf.ninja,5,83.33333333333334
cro.social,1,16.666666666666664
crowleyclub.com,2,33.33333333333333
crucible.world,5,83.33333333333334
crunchywatch.uk,1,16.666666666666664
cryo.icu,1,16.666666666666664
crypt.lol,1,16.666666666666664
cryptids.online,1,16.666666666666664
crypto-group-buy.com,1,16.666666666666664
cryptocartel.social,2,33.33333333333333
cryptodon.chat,1,16.666666666666664
cryptodon.lol,3,50.0
cryptoschizo.club,1,16.666666666666664
cryptotalks.social,3,50.0
cryptotooter.com,4,66.66666666666666
csdisaster.club,3,50.0
ctseuro.com,2,33.33333333333333
cubhub.social,1,16.666666666666664
cucked.me,1,16.666666666666664
cuicui.senpaga.net,2,33.33333333333333
cultofshiv.wtf,1,16.666666666666664
cum.camp,6,100.0
cum.desupost.soy,2,33.33333333333333
cum.salon,6,100.0
cumallover.me,1,16.666666666666664
cunny.finance,1,16.666666666666664
cunny.gay,2,33.33333333333333
curiouscabbit.social,1,16.666666666666664
cuteposting.institute,1,16.666666666666664
cyb3r.moe,1,16.666666666666664
cybercriminal.eu,5,83.33333333333334
cybercrusade.xyz,2,33.33333333333333
cyberdruids.club,1,16.666666666666664
cyberfuck.club,1,16.666666666666664
cyberretards.xyz,3,50.0
cyberstorm.one,6,100.0
cybre.club,1,16.666666666666664
cybrkyd.com,1,16.666666666666664
cyuucat.moe,2,33.33333333333333
cyzed.com,1,16.666666666666664
d-fens.systems,4,66.66666666666666
d2l.masto.host,1,16.666666666666664
dadalo.pl,1,16.666666666666664
daffodil-11.org,1,16.666666666666664
daishouri.moe,2,33.33333333333333
dajiaweibo.com,1,16.666666666666664
dancefight.club,1,16.666666666666664
danksquad.org,4,66.66666666666666
danksquad.xyz,3,50.0
danrees.me,1,16.666666666666664
dark-alexandr.net,3,50.0
darkkeep.net,1,16.666666666666664
darknight-coffee.org,4,66.66666666666666
darlow.co.uk,3,50.0
daspr.io,4,66.66666666666666
daystorm.netz.org,1,16.666666666666664
dbuild.xyz,1,16.666666666666664
dcomm.net.ua,1,16.666666666666664
dd0s.lol,2,33.33333333333333
ddnss.de,1,16.666666666666664
deadreckoning.cc,2,33.33333333333333
deadsuperhero.com,1,16.666666666666664
debilosempire.org,3,50.0
