#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
fedi.app,suspend,false,false,harassment,false
fedi.c*********n.org,suspend,false,false,inappropriate content,false
feminism.lgbt,suspend,false,false,harassment,false
fil**.**ve,suspend,false,false,inappropriate content,false
firebird.mullet.social,suspend,false,false,third-party bots,false
fr13nd5.com,silence,false,false,misinformation,false
freak.******sity,suspend,false,false,inappropriate content,false
freeatlantis.com,suspend,false,false,hate speech,false
freecumextremist.com,suspend,false,false,hate speech,false
freesoftwareextremist.com,suspend,false,false,hate speech,false
freespeech.club,suspend,false,false,hate speech,false
freespeechextremist.com,suspend,false,false,hate speech,false
freezepeach.xyz,silence,false,false,harassment,false
frennet.xyz,suspend,false,false,hate speech,false
fsebugoutzone.org,suspend,false,false,hate speech,false
gab.ai,suspend,false,false,harassment,false
gab.com,suspend,false,false,harassment,false
gameliberty.club,suspend,false,false,bot that announces blocks,false
genderheretics.xyz,suspend,false,false,transphobia,false
getgle.org,suspend,false,false,hate speech,false
geti****.com,suspend,false,false,inappropriate content,false
ghet**.****ter,suspend,false,false,inappropriate content,false
gitmo.life,suspend,false,false,hate speech,false
gleasonator.com,suspend,false,false,transphobia,false
glindr.org,suspend,false,false,transphobia,false
glowers.club,suspend,false,false,hate speech,false
gor****.*om,suspend,false,false,hate speech,false
goy**.*pp,suspend,false,false,hate speech,false
h5q.net,suspend,false,false,inappropriate content,false
head***.*afe,suspend,false,false,inappropriate content,false
hen***.**by,suspend,false,false,inappropriate content,false
honkwerx.tech,suspend,false,false,hate speech,false
hunk.city,suspend,false,false,spam,false
iddqd.social,suspend,false,false,harassment,false
imo***.**cs,suspend,false,false,inappropriate content,false
imou**.****sed,suspend,false,false,inappropriate content,false
instinctd.com,suspend,false,false,third-party bots,false
intkos.link,suspend,false,false,hate speech,false
jaeger.website,suspend,false,false,harassment,false
kids.0px.io,silence,false,false,unmanaged spam,false
kiss*****.moe,suspend,false,false,inappropriate content,false
kiwifarms.cc,suspend,false,false,harassment,false
kiwifarms.is,suspend,false,false,harassment,false
kiwifarms.net,suspend,false,false,harassment,false
kodo.*****res,suspend,false,false,inappropriate content,false
krdtube.org,silence,false,false,misinformation,false
kurosawa.moe,suspend,false,false,hate speech,false
lanue*********a.es,suspend,false,false,hate speech,false
leafposter.club,suspend,false,false,hate speech,false
leonardwong.dev,suspend,false,false,third-party bots,false
lewdi*******.com,suspend,false,false,inappropriate content,false
lewdi*******.vip,suspend,false,false,inappropriate content,false
lick.*****.win,suspend,false,false,inappropriate content,false
lit.t*******.xyz,suspend,false,false,inappropriate content,false
localtunnel.me,suspend,false,false,spam,false
lol****.*op,suspend,false,false,inappropriate content,false
lol*.****ch,suspend,false,false,inappropriate content,false
lol*.***za,suspend,false,false,inappropriate content,false
loli***.****ork,suspend,false,false,inappropriate content,false
loli***.**cks,suspend,false,false,maps,false
loli.****sed,suspend,false,false,inappropriate content,false
lus*.*oe,suspend,false,false,inappropriate content ,false
m.n1l.dev,silence,false,false,unmanaged spam,false
maps******.de,suspend,false,false,inappropriate content,false
mashtodon.alterracloud.com,suspend,false,false,hate speech,false
mast.socialspill.com,suspend,false,false,third-party bots,false
mastinator.com,suspend,false,false,third-party bots,false
masto***.******.lol,suspend,false,false,inappropriate content,false
mastodon.sitejp.synology.me,silence,false,false,unmanaged spam,false
mastodon.social.fraudulent.link,suspend,false,false,impersonation,false
mastodon.socialspill.com,suspend,false,false,third-party bots,false
mastodonhub.com,suspend,false,false,mirroring other mastodon accounts without permission,false
mela******.tk,suspend,false,false,inappropriate content,false
